(X, Y): (160,100); ID:163
(X, Y): (170,100); ID:164
(X, Y): (180,100); ID:164
(X, Y): (190,100); ID:165
(X, Y): (200,100); ID:165
(X, Y): (210,100); ID:166
(X, Y): (220,100); ID:166
(X, Y): (230,100); ID:167
(X, Y): (240,100); ID:167
(X, Y): (250,100); ID:168
(X, Y): (260,100); ID:168
(X, Y): (270,100); ID:169
(X, Y): (280,100); ID:169
(X, Y): (290,100); ID:170
(X, Y): (300,100); ID:170
(X, Y): (310,100); ID:171
(X, Y): (320,100); ID:171
(X, Y): (330,100); ID:172
(X, Y): (340,100); ID:172
(X, Y): (350,100); ID:173
(X, Y): (360,100); ID:173
(X, Y): (370,100); ID:174
(X, Y): (380,100); ID:174
(X, Y): (390,100); ID:175
(X, Y): (400,100); ID:175
(X, Y): (410,100); ID:176
(X, Y): (420,100); ID:176
(X, Y): (430,100); ID:177
(X, Y): (440,100); ID:177
(X, Y): (450,100); ID:178
(X, Y): (460,100); ID:178
(X, Y): (470,100); ID:179
(X, Y): (480,100); ID:179
(X, Y): (490,100); ID:180
(X, Y): (500,100); ID:180
(X, Y): (510,100); ID:181
(X, Y): (520,100); ID:181
(X, Y): (530,100); ID:182
(X, Y): (540,100); ID:182
(X, Y): (550,100); ID:183
(X, Y): (560,100); ID:183
(X, Y): (570,100); ID:184
(X, Y): (580,100); ID:184
(X, Y): (590,100); ID:185
(X, Y): (600,100); ID:185
(X, Y): (610,100); ID:186
(X, Y): (620,100); ID:186
(X, Y): (630,100); ID:187
(X, Y): (640,100); ID:187
(X, Y): (650,100); ID:188
(X, Y): (660,100); ID:188
(X, Y): (670,100); ID:189
(X, Y): (680,100); ID:189
(X, Y): (690,100); ID:190
(X, Y): (700,100); ID:190
(X, Y): (710,100); ID:191
(X, Y): (720,100); ID:191
(X, Y): (730,100); ID:192
(X, Y): (740,100); ID:192
(X, Y): (60,100); ID:648
(X, Y): (70,100); ID:648
(X, Y): (780,100); ID:694
(X, Y): (790,100); ID:694
(X, Y): (0,110); ID:647
(X, Y): (10,110); ID:647
(X, Y): (20,110); ID:647
(X, Y): (30,110); ID:647
(X, Y): (40,110); ID:647
(X, Y): (50,110); ID:647
(X, Y): (800,110); ID:689
(X, Y): (810,110); ID:689
(X, Y): (820,110); ID:689
(X, Y): (830,110); ID:689
(X, Y): (840,110); ID:689
(X, Y): (850,110); ID:689
(X, Y): (110,110); ID:161
(X, Y): (120,110); ID:161
(X, Y): (130,110); ID:162
(X, Y): (140,110); ID:162
(X, Y): (150,110); ID:163
(X, Y): (160,110); ID:163
(X, Y): (170,110); ID:164
(X, Y): (180,110); ID:164
(X, Y): (190,110); ID:165
(X, Y): (200,110); ID:165
(X, Y): (210,110); ID:166
